Feature,Mean P Value,P Values
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",9.86273047174026e-05,"[0.0002541484798463357, 0.00020009307391672318, 8.311350928051809e-07, 3.415046344111132e-05, 3.913371290037586e-06]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.0002258407439548426,"[0.00032136915833432987, 0.0007197640357000501, 1.3240309074919662e-06, 7.99844927224758e-05, 6.7620021098652125e-06]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.00015156136069573555,"[1.3484965491830399e-05, 0.00041609171403112063, 2.510740256425563e-05]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",6.200984682586176e-05,"[0.00012310307715662078, 4.655175109012538e-05, 1.757462982025311e-05, 0.00012265884621136668, 1.609298509428362e-07]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.00022072336349680002,"[0.00033223132009198926, 0.0006778741737106614, 1.269579675052488e-06, 8.547974189643205e-05, 6.7620021098652125e-06]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.00012349294102269721,"[0.00022958673517360937, 1.7399146871785042e-05]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.00013586568041019898,"[0.0002541484798463357, 0.00036699533298090387, 7.002577336484517e-07, 5.3413341997666526e-05, 4.070989492440512e-06]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.0002258407439548426,"[0.00032136915833432987, 0.0007197640357000501, 1.3240309074919662e-06, 7.99844927224758e-05, 6.7620021098652125e-06]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",6.015512224301269e-05,"[3.0236608438767573e-06, 0.00016924631507926597, 8.195390805895358e-06]"
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",8.179143326993613e-05,"[0.0002219072816631786, 0.00016442214788354228, 2.676787871386056e-07, 2.0123869958427145e-05, 2.236188057393929e-06]"
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.0002195407887144167,"[0.00031084010290186953, 0.0006985273392026906, 1.3240309074919662e-06, 7.99844927224758e-05, 7.027977837555586e-06]"
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.0001515158652532746,"[1.5112109919754116e-05, 0.00041609171403112063, 2.3343771808948996e-05]"
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",7.433015583645173e-08,"[2.6435494625580787e-07, 5.955200744576649e-08, 6.567660377357252e-11, 4.76114738535371e-08, 6.667502337366847e-11]"
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",9.057991353531235e-05,"[0.0002761389503598368, 1.4397492004454982e-06, 7.482437993316562e-05, 9.916574647801477e-06]"
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.00012516690342395233,"[0.0002456997800573574, 0.00033398923779408193, 4.954805301625103e-07, 4.203451570320971e-05, 3.615503034950186e-06]"
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.00021895255860579269,"[0.00031084010290186953, 0.0006985273392026906, 1.269579675052488e-06, 7.736376913948554e-05, 6.7620021098652125e-06]"
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.0003526454078924746,"[0.00035499401030500015, 0.0012562756848808886, 3.1488983830948145e-06, 0.00013961815763879114, 9.19028825459826e-06]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",9.726316503685175e-05,"[0.00019353615949778947, 0.0002508711081763135, 6.707819741053436e-07, 3.789833466229422e-05, 3.339440873756183e-06]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",0.0002258407439548426,"[0.00032136915833432987, 0.0007197640357000501, 1.3240309074919662e-06, 7.99844927224758e-05, 6.7620021098652125e-06]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",0.00012875271956265844,"[9.922912736057427e-06, 0.0003576022693732297, 1.8732976578688152e-05]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",8.833204438186945e-06,"[2.9469397912263088e-05, 6.059058127384899e-06, 2.2395241243094715e-07, 8.391225844289957e-06, 2.2387894565842024e-08]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",0.00022072336349680002,"[0.00033223132009198926, 0.0006778741737106614, 1.269579675052488e-06, 8.547974189643205e-05, 6.7620021098652125e-06]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",0.00011473374424372387,"[0.0002144694670373675, 1.4998021450080242e-05]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.0001426554283231451,"[0.00023751508355802437, 0.00041576069674602366, 6.707819741053436e-07, 5.525958984513176e-05, 4.070989492440512e-06]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",0.0002258407439548426,"[0.00032136915833432987, 0.0007197640357000501, 1.3240309074919662e-06, 7.99844927224758e-05, 6.7620021098652125e-06]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",0.0003725623929839809,"[0.001330362958296158, 2.7873693033775437e-06, 0.00014890385353049266, 8.195390805895358e-06]"
