Feature,Mean P Value,P Values
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",5.405264505287252e-05,"[1.1255328917461645e-05, 2.7609480043186055e-05, 1.9420940758313797e-05, 0.00023863409354423707, 1.056254131352622e-05, 6.222365120086624e-05, 8.662479592516655e-06]"
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",0.00018430959571378113,"[3.5785780999400382e-06, 0.00012438201421226722, 0.0001422254861135165, 0.00046705230442940077]"
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",5.485365511131007e-05,"[1.3823446256655164e-05, 3.6406542564842965e-05, 2.9354105476732275e-05, 0.00021341317301395033, 1.3821046491485924e-05, 6.970328851814115e-05, 7.453983457362748e-06]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",0.00015570564821605268,[0.00015570564821605268]
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",0.00013708510921590323,[0.00013708510921590323]
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",1.613435236990396e-05,"[2.0850661336588595e-06, 3.6436467416219514e-05, 1.1606686598382726e-07, 2.589980906375365e-05]"
"value_norm__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",0.00016266694331329627,"[0.00031941139870253065, 5.922487924061885e-06]"
"value_norm__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.00016266694331329627,"[0.00031941139870253065, 5.922487924061885e-06]"
value_norm__binned_entropy__max_bins_10,0.00016588503822304395,[0.00016588503822304395]
value_norm__c3__lag_1,0.00015570564821605268,[0.00015570564821605268]
value_norm__c3__lag_2,0.00015570564821605268,[0.00015570564821605268]
value_norm__c3__lag_3,0.00017668810739088732,[0.00017668810739088732]
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.00016588503822304395,[0.00016588503822304395]
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.0002481924545311609,"[0.00014557993481911687, 0.0003508049742432049]"
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.0002551823461654969,[0.0002551823461654969]
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.00046695019782317976,[0.00046695019782317976]
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",0.00038929627996335276,[0.00038929627996335276]
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.0003650528117948266,"[0.00020030851685706247, 0.0005297971067325908]"
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.0001490247720467655,"[3.6249893080631236e-05, 5.349542849803164e-05, 0.0003573289945616337]"
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.00017233682778521953,"[4.143700399904948e-05, 5.349542849803164e-05, 0.00042207805085857743]"
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",7.033355953212378e-05,"[6.642553243708112e-05, 7.424158662716644e-05]"
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.00038929627996335276,[0.00038929627996335276]
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.00020286758042969836,"[0.00012858164575120363, 0.0002771535151081931]"
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.00012409452259200759,"[2.9466592812287213e-05, 4.098819488830871e-05, 0.00030182878007542686]"
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.0001447634515592687,"[3.613275248796741e-05, 4.098819488830871e-05, 0.00035716940730152997]"
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",0.00023802893046211818,"[5.434018661367905e-05, 4.098819488830871e-05, 0.0006187584098843668]"
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.0003506761465721539,[0.0003506761465721539]
"value_norm__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",6.689626629541007e-05,[6.689626629541007e-05]
"value_norm__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",2.657833816176741e-05,"[1.928365466998473e-06, 7.712883346494721e-06, 2.3431002573287632e-05, 7.324110126028881e-05]"
"value_norm__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",0.0003084539839558927,[0.0003084539839558927]
"value_norm__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.0001532286527452432,"[3.898979824531182e-05, 0.000500059109782109, 2.8463277125750995e-05, 4.540242582780102e-05]"
"value_norm__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",4.7922438921399436e-05,"[5.1168542271339074e-05, 3.6786957405691866e-05, 5.581181708716736e-05]"
"value_norm__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",4.640651039392225e-05,"[5.4734060555604586e-05, 3.237187427385388e-05, 5.211359635230827e-05]"
"value_norm__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",4.5846790007599805e-05,"[5.8534106740967186e-05, 3.0357849195998457e-05, 4.864841408583377e-05]"
"value_norm__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",4.37515029842056e-05,"[5.8534106740967186e-05, 3.0357849195998457e-05, 4.236255301565116e-05]"
"value_norm__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",0.0003084539839558927,[0.0003084539839558927]
"value_norm__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",2.77504106218497e-05,"[4.166751424068235e-06, 2.2308455748621185e-05, 2.055960913506626e-05, 6.396682617964312e-05]"
"value_norm__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",3.489158473294518e-05,"[8.166438164494384e-06, 4.4002072014355576e-05, 2.3431002573287632e-05, 6.396682617964312e-05]"
"value_norm__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",3.938713372073469e-05,"[1.094483781142433e-05, 7.452428041239302e-05, 2.3431002573287632e-05, 4.864841408583377e-05]"
"value_norm__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",5.186392789527214e-05,"[1.3598798010176244e-05, 0.00010958181935799396, 2.8463277125750995e-05, 5.581181708716736e-05]"
"value_norm__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",6.751469194838771e-05,"[1.943461162693192e-05, 0.00017004728268855965, 2.8463277125750995e-05, 5.211359635230827e-05]"
"value_norm__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",8.634909206182219e-05,"[2.4009119199753214e-05, 0.00024562697402373605, 3.0357849195998457e-05, 4.540242582780102e-05]"
"value_norm__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",0.00010495329829064163,"[2.9596737275420056e-05, 0.0003124421557854915, 3.237187427385388e-05, 4.540242582780102e-05]"
"value_norm__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",0.00011408593564417477,"[3.1719467662038576e-05, 0.00035190387270301086, 3.0357849195998457e-05, 4.236255301565116e-05]"
"value_norm__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",0.0001434623651721774,"[3.398634126275551e-05, 0.0004718833980262801, 2.8463277125750995e-05, 3.9516444273922934e-05]"
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_1,1.9915031548805785e-05,"[2.631993580724913e-06, 5.026628811200635e-05, 4.308755192226917e-06, 2.245308931026497e-05]"
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_2,4.14927911333279e-05,"[5.9375222131232895e-05, 3.920334220499716e-05, 2.589980906375365e-05]"
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_3,2.7537549005844398e-05,"[1.2006385960562974e-06, 1.1869207284258867e-05, 7.512541692990568e-06, 8.956780845007185e-05]"
