feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,tukey-HSD_control_epah_pvalue,tukey-HSD_control_pah_pvalue,tukey-HSD_epah_pah_pvalue
value_norm__skewness,156.0,0.5188300795284599,0.1927461999783538,-0.1141623653093401,0.4044034277907944,0.5289905742396699,0.6382503928053929,1.2028864131714074,30.0,0.554693079207624,0.1847525802867613,0.0949720005820987,0.4183474105569928,0.5752634099460863,0.6803074021584845,0.8012030026491526,65.0,0.5808252442340834,0.1750500401494365,0.3173710153104617,0.4531648982687726,0.5610947992094351,0.662431273430044,1.2028864131714074,61.0,0.4351321172950098,0.1867125756501098,-0.1141623653093401,0.3320723725058396,0.4529995042522236,0.5746601454808338,0.796280814706538,0.7716,0.0101,0.001
value_norm__longest_strike_above_mean,156.0,202.51282051282053,18.378278616252636,138.0,191.0,203.5,213.25,263.0,30.0,196.0,14.631095841297784,174.0,186.0,195.5,209.75,223.0,65.0,196.2153846153846,16.829561331638587,138.0,189.0,198.0,207.0,223.0,61.0,212.4262295081967,17.40350445206697,175.0,200.0,212.0,221.0,263.0,0.9,0.001,0.001
value_norm__count_above_mean,156.0,202.5705128205128,18.305335791648183,138.0,191.0,203.5,213.25,263.0,30.0,196.0,14.631095841297784,174.0,186.0,195.5,209.75,223.0,65.0,196.2153846153846,16.829561331638587,138.0,189.0,198.0,207.0,223.0,61.0,212.5737704918033,17.116716017189596,178.0,200.0,212.0,221.0,263.0,0.9,0.001,0.001
value_norm__count_below_mean,156.0,297.4294871794872,18.305335791648183,237.0,286.75,296.5,309.0,362.0,30.0,304.0,14.631095841297784,277.0,290.25,304.5,314.0,326.0,65.0,303.7846153846154,16.829561331638587,277.0,293.0,302.0,311.0,362.0,61.0,287.42622950819674,17.116716017189592,237.0,279.0,288.0,300.0,322.0,0.9,0.001,0.001
value_norm__sample_entropy,156.0,0.0274413668575602,0.0040810188103798,0.019825240556741,0.0241764616406211,0.0272525083824093,0.030416698849987,0.037693933958389,30.0,0.0296396052824771,0.0037235924607671,0.0244399424286121,0.0262782431028354,0.0297132705400267,0.0310530045081253,0.037693933958389,65.0,0.0267468289505131,0.0036348813093157,0.019825240556741,0.0239871582475085,0.0265029072671306,0.0294502984971485,0.0349007037860674,61.0,0.0271003473692086,0.0043787062138066,0.020447963712345,0.0231229960825312,0.0275774809847144,0.0303832251034299,0.0370433321743937,0.0033,0.0127,0.8581
value_norm__maximum,156.0,1.6763550373654772,0.1509531183895784,1.2297355235292633,1.589660921535056,1.659380053561765,1.7711735848930124,2.2369779081753585,30.0,1.711100514620009,0.1266605858032148,1.4388564284099474,1.632304836638696,1.7061975795534845,1.8011900754000434,2.016562446058245,65.0,1.7154992200588128,0.1535738565468852,1.4636993518475558,1.6004009241101431,1.6875088344597202,1.803135196058766,2.2369779081753585,61.0,1.6175560833867435,0.1420428324208897,1.2297355235292633,1.5684509131351276,1.6236967239639295,1.7137696303392531,1.8938285676893087,0.9,0.0116,0.001
value_norm__c3__lag_1,156.0,0.5204743331114318,0.1913652214286141,-0.109161515793726,0.406898568815907,0.5302153004107799,0.6387897307133097,1.2015612208525115,30.0,0.5562456671477655,0.1826426592790744,0.1079149237163851,0.4206793454298546,0.5762015390748176,0.680586127607813,0.8018873273724272,65.0,0.5820641265968224,0.1740173309444431,0.3200343528721033,0.4555365916346461,0.5617330213356202,0.6638783355497903,1.2015612208525115,61.0,0.437253405281261,0.1854425839854517,-0.109161515793726,0.3345449696199577,0.4561944798335696,0.5755787001384272,0.7947162160999238,0.7733,0.0099,0.001
value_norm__c3__lag_2,156.0,0.5247361226153773,0.190896636194469,-0.1048606475740761,0.4113975646007469,0.533555202407453,0.6423781617371889,1.2055392224047372,30.0,0.5605549474223022,0.1814592651688104,0.1216583000328418,0.425013209925666,0.5799969295233984,0.6842380862488218,0.8062514207577893,65.0,0.5862081744547939,0.1737631497049846,0.3244067285946562,0.4602527858972432,0.5653145842070179,0.6686079164636858,1.2055392224047372,61.0,0.4416173010781671,0.1850946601240607,-0.1048606475740761,0.338764088044019,0.4617530454904203,0.5792546150660806,0.7972354973067433,0.7748,0.0097,0.001
value_norm__c3__lag_3,156.0,0.5285067265525882,0.1901816631216299,-0.1005637807146788,0.4154896628599283,0.5364287165848141,0.6452009576421356,1.2076002499970973,30.0,0.5642954217869698,0.1800896834032576,0.1355611643239238,0.4288589024491303,0.5832088352037539,0.6871882623556863,0.8093980329430196,65.0,0.5897794503344889,0.1732328327117596,0.3285694440481747,0.4646250209711274,0.5684593742216651,0.6724733041668906,1.2076002499970973,61.0,0.4456151215877525,0.1845473590558612,-0.1005637807146788,0.3427349815354875,0.4669541372417192,0.5822457610445566,0.7990640102796207,0.7758,0.0096,0.001
value_norm__quantile__q_0.2,156.0,-0.9000823529542956,0.0969708860843822,-1.2189403741374645,-0.9681542787230886,-0.9014548528679835,-0.8368008116284227,-0.6290687019452993,30.0,-0.8559853374324199,0.0956509274000338,-1.068382371048005,-0.9128199421598542,-0.8407304959904074,-0.7990692400709858,-0.7229384333329433,65.0,-0.8814466292905685,0.0926165509488458,-1.1065886478831246,-0.9382627237147334,-0.8886912461922962,-0.8171514046296626,-0.6290687019452993,61.0,-0.9416271480985344,0.0872754747462735,-1.2189403741374645,-0.991777768744999,-0.9483892299652328,-0.883078202845027,-0.7458293845736429,0.4186,0.001,0.001
value_norm__quantile__q_0.6,156.0,0.0375839338703587,0.2336140281891634,-0.5190179113658326,-0.1409572008009156,0.0546084172118552,0.2013147053926815,0.717900908628148,30.0,-0.0538838995328621,0.2082748333216398,-0.3565150165921934,-0.2172894505911796,-0.0831453378850047,0.149236891485441,0.3163017625491777,65.0,-0.0377686064144946,0.200157217930856,-0.5190179113658326,-0.1608356972600118,-0.0273968985131805,0.1060822425074589,0.3392679756251087,61.0,0.1628618047000653,0.2258235311196061,-0.3761897752272591,-0.0013888663071518,0.1894251124267964,0.2996131952494559,0.717900908628148,0.9,0.001,0.001
value_norm__quantile__q_0.9,156.0,1.551171949056553,0.1121387760453559,1.1908139429298803,1.4944852073983466,1.552617873132368,1.6131538905357117,1.9193870172019785,30.0,1.561411276453497,0.103141569711625,1.370765242825366,1.477247955729473,1.5791949622251231,1.6141309595080688,1.7221806588191502,65.0,1.587447850092695,0.1044291872098599,1.3644076327863444,1.5140767906189396,1.584781560909181,1.6556188302887276,1.9193870172019785,61.0,1.5074815656260996,0.1108725647099018,1.1908139429298803,1.4237005250488577,1.5204348288326213,1.5919234461056002,1.724993014067335,0.5128,0.0639,0.001
value_norm__number_cwt_peaks__n_5,156.0,26.46153846153846,4.883658881359231,15.0,23.0,26.0,30.0,38.0,30.0,26.83333333333333,4.62439806583131,17.0,23.25,25.5,30.75,36.0,65.0,27.861538461538466,4.869795051760786,17.0,24.0,28.0,32.0,37.0,61.0,24.78688524590164,4.575713984718161,15.0,21.0,25.0,28.0,38.0,0.579,0.1288,0.001
value_norm__index_mass_quantile__q_0.7,156.0,0.6826025641025641,0.046957726972408,0.574,0.644,0.684,0.72,0.792,30.0,0.6732,0.0396731473504391,0.598,0.651,0.664,0.6915,0.766,65.0,0.6704615384615384,0.0504539012747889,0.574,0.63,0.674,0.71,0.792,61.0,0.7001639344262294,0.0412654739977901,0.602,0.676,0.706,0.73,0.79,0.9,0.0219,0.001
