feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
value_norm__mean_abs_change,156.0,0.0113145441541178,0.0008606259726726,0.0095684261815194,0.0107996563343892,0.0112044836742173,0.0115939556686399,0.0153877343064144,30.0,0.0117145585246604,0.0008444554655644,0.0106193213781305,0.0109463938803213,0.0116251319918943,0.0122218931502779,0.0142689004262004,65.0,0.0114253348484511,0.0009240015013812,0.0101291118643955,0.0109350089072942,0.0112217400951461,0.0115976112779622,0.0153877343064144,61.0,0.0109997601172663,0.000681180796667,0.0095684261815194,0.010589791034663,0.0109895310592108,0.0113516817229282,0.0142307949701725,0.1487521144815634,0.0237628030927462,3.736758627057026e-05,4.885391009765176e-05,0.0040709140732594,0.0023531430523357
value_norm__median,156.0,-0.472441934731194,0.1349302532101074,-0.6956691969228535,-0.5569170659274953,-0.4905562151016883,-0.4131347246445491,0.1448397685154039,30.0,-0.5054484888908148,0.096144163864622,-0.6941510967168469,-0.5581103418005665,-0.5078375572208249,-0.4418415355772982,-0.2938337859229128,65.0,-0.4938662190182477,0.0892279065044075,-0.6610097164719189,-0.5549925193962366,-0.4951611527616884,-0.4434767431151247,-0.2321490420824812,61.0,-0.4333800477894394,0.1774237977817725,-0.6956691969228535,-0.5549418373151264,-0.4818222239491205,-0.3214349000294528,0.1448397685154039,0.5674446913966409,0.3169013923908474,0.0407737038448232,0.0557584878572283,0.0161103128556133,0.0682561853743338
value_norm__skewness,156.0,0.5188300795284599,0.1927461999783538,-0.1141623653093401,0.4044034277907944,0.5289905742396699,0.6382503928053929,1.2028864131714074,30.0,0.554693079207624,0.1847525802867613,0.0949720005820987,0.4183474105569928,0.5752634099460863,0.6803074021584845,0.8012030026491526,65.0,0.5808252442340834,0.1750500401494365,0.3173710153104617,0.4531648982687726,0.5610947992094351,0.662431273430044,1.2028864131714074,61.0,0.4351321172950098,0.1867125756501098,-0.1141623653093401,0.3320723725058396,0.4529995042522236,0.5746601454808338,0.796280814706538,0.5079237334878985,0.469685334352861,0.0049610349658892,0.0029213873870136,1.4197197376144711e-05,5.308624993311732e-05
value_norm__kurtosis,156.0,-1.334011076271102,0.2334529273625804,-1.744468664422553,-1.4882811709941748,-1.3679572086927685,-1.2303694677889556,-0.0585902010386667,30.0,-1.2832623555860172,0.1751280573938764,-1.53123366780847,-1.4041180720549025,-1.3085392916181755,-1.1459850876999167,-0.9271124524710156,65.0,-1.2582358770025286,0.2759193524681618,-1.6024409806547142,-1.446167066505464,-1.3368444505814787,-1.1614339286644288,-0.0585902010386667,61.0,-1.439713528287657,0.1609172892628906,-1.744468664422553,-1.5640760497587032,-1.4384146248750118,-1.3234250975987156,-1.0039590035386476,0.6497904496426086,0.4411246081190212,5.5624621491478e-05,0.0001988317822834,1.7288489848311122e-05,3.3963665164988715e-05
value_norm__absolute_sum_of_changes,156.0,5.645957532904842,0.4294523603636273,4.774644664578189,5.389028510860243,5.591037353434489,5.785383878651375,7.678479418900818,30.0,5.845564703805615,0.421383277316681,5.299041367687135,5.462250546280395,5.800940863955276,6.098724681988712,7.120181312674029,65.0,5.701242089377171,0.4610767491892452,5.054426820333374,5.456569444739846,5.599648307477923,5.787208027703166,7.678479418900818,61.0,5.488880298515911,0.3399092175368656,4.774644664578189,5.284305726296872,5.4837759985462,5.664489179741214,7.10116669011609,0.1487521144815583,0.0237628030927462,3.736758627056464e-05,4.885391009765176e-05,0.0040709140732589,0.0023531430523357
value_norm__longest_strike_below_mean,156.0,173.27564102564102,16.853284821181134,140.0,163.0,171.0,183.25,234.0,30.0,174.36666666666667,14.70276383432095,140.0,165.25,171.5,186.75,200.0,65.0,174.63076923076923,17.352565760184817,140.0,164.0,171.0,182.0,234.0,61.0,171.29508196721312,17.36408579251542,141.0,158.0,167.0,185.0,219.0,0.9425950148855268,0.2659392248094089,0.4073093743939906,0.0974101358797197,0.2831267263389047,0.1205677995801844
value_norm__count_below_mean,156.0,297.4294871794872,18.305335791648183,237.0,286.75,296.5,309.0,362.0,30.0,304.0,14.631095841297784,277.0,290.25,304.5,314.0,326.0,65.0,303.7846153846154,16.829561331638587,277.0,293.0,302.0,311.0,362.0,61.0,287.42622950819674,17.116716017189592,237.0,279.0,288.0,300.0,322.0,0.9520263707672716,0.2686762094885421,1.7142558894125878e-05,2.3431527601285065e-05,3.153896990495752e-07,8.321301651285045e-07
value_norm__last_location_of_minimum,156.0,0.649384615384616,0.3384495666729999,0.002,0.709,0.79,0.852,1.0,30.0,0.708,0.3205387705852069,0.002,0.7765,0.8180000000000001,0.8734999999999999,1.0,65.0,0.6130153846153847,0.369636666721005,0.002,0.0639999999999999,0.792,0.866,1.0,61.0,0.6593114754098361,0.3118730265660266,0.002,0.718,0.786,0.8260000000000001,1.0,0.2285724771567378,0.0721124669817072,0.4896456338873675,0.0141056499384792,0.4502646777341256,0.2363651461555764
value_norm__first_location_of_minimum,156.0,0.6472564102564103,0.3383165319121948,0.0,0.707,0.788,0.85,0.996,30.0,0.7057333333333333,0.3202889787130639,0.0,0.7745,0.8160000000000001,0.8714999999999999,0.994,65.0,0.6109230769230769,0.3695389148863549,0.0,0.062,0.79,0.864,0.996,61.0,0.6572131147540985,0.3117642867485037,0.0,0.716,0.784,0.824,0.996,0.2292385022468437,0.0732284377406761,0.4909300964053997,0.0144141289485903,0.450188993727352,0.2363678235689562
value_norm__maximum,156.0,1.6763550373654772,0.1509531183895784,1.2297355235292633,1.589660921535056,1.659380053561765,1.7711735848930124,2.2369779081753585,30.0,1.711100514620009,0.1266605858032148,1.4388564284099474,1.632304836638696,1.7061975795534845,1.8011900754000434,2.016562446058245,65.0,1.7154992200588128,0.1535738565468852,1.4636993518475558,1.6004009241101431,1.6875088344597202,1.803135196058766,2.2369779081753585,61.0,1.6175560833867435,0.1420428324208897,1.2297355235292633,1.5684509131351276,1.6236967239639295,1.7137696303392531,1.8938285676893087,0.891512545074787,0.3881180314356778,0.0029510999534158,0.0017677339521345,0.0003117917228754,0.001121868224816
