feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,anova_notes,f-oneway_stat,f-oneway_pvalue,tukey-HSD_control_epah_pvalue,tukey-HSD_control_pah_pvalue,tukey-HSD_epah_pah_pvalue,jarque-bera_stat,jarque-bera_pvalue,bartlett_stat,bartlett_pvalue
value__variance_larger_than_standard_deviation,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,65.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,61.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Not enough unique values! ,,,,,,,,,
value__has_duplicate_max,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not enough unique values! ,,,,,,,,,
value__has_duplicate_min,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not enough unique values! ,,,,,,,,,
value__has_duplicate,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not enough unique values! ,,,,,,,,,
value__sum_values,156.0,5.381576472300666,449.04639122467825,-1212.15072053117,-255.91198737165993,43.24860268153469,269.4002849449342,1209.6150397662273,30.0,13.720281960870352,282.34303780127107,-859.5937717324887,-82.61921940600048,89.02269140586212,177.69510126391626,452.7093662706997,65.0,-20.4105895478255,421.1768455137437,-1212.15072053117,-277.81585876945377,38.54712267163683,264.3757301534104,902.5833385566012,61.0,28.764029368220505,540.2340403671693,-1174.4708144425072,-355.94722067673774,18.31956250635397,461.3626548831713,1209.6150397662273,Heteroscedastic samples! ,0.1930599263184419,0.8246330935398059,0.9,0.9,0.7951,2.642386972561307,0.2668166698272408,14.385425012694261,0.000752046420638516
value__abs_energy,156.0,35007.21947614293,26581.613262643998,6337.415362134713,18117.5767731083,27261.70402904058,39999.8166819258,142539.51999034616,30.0,14768.166600424616,5307.004757761401,7653.478439379761,10124.51827994755,13973.979249116885,18070.582244999332,24717.75842261981,65.0,23430.312288742683,8981.655433357937,6337.415362134713,18133.23751870411,25019.94604556905,29439.64673534601,42672.54718626398,61.0,57296.90068028336,29505.30188593096,22016.328910994074,31399.11135510727,53153.65254830936,71656.68229986134,142539.51999034616,Non-normal residuals! Heteroscedastic samples! ,67.42381483203745,1.0068184301160263e-21,0.1128,0.001,0.001,138.80003305816757,7.243621972382582e-31,123.86019830094645,1.2708657490204127e-27
value__mean_abs_change,156.0,0.314820987938815,0.12632229395676528,0.1372389045948157,0.21161414482508473,0.2863690316031867,0.3941701687364431,0.6994035001388,30.0,0.2014452891173807,0.03320962102946599,0.1372389045948157,0.18151117915589174,0.20119533697056646,0.2213042814779073,0.2667374522723214,65.0,0.2643916225223188,0.07463369014572933,0.1475427852956032,0.2078837710043615,0.2479830437340121,0.2912317905287158,0.4687677117363323,61.0,0.4243157373931643,0.11566114010934085,0.2649311127323629,0.3307331550330659,0.4159264452536326,0.4751357928264722,0.6994035001388,Non-normal residuals! Heteroscedastic samples! ,82.35307725843121,5.295828590858396e-25,0.0043,0.001,0.001,26.05217682087271,2.2021235559850862e-06,45.16590757181514,1.5572121575418843e-10
value__mean_change,156.0,0.00036156580022187536,0.013988390372477967,-0.0558410063105443,-0.00624976205534525,0.0009353069148088501,0.009423569550524875,0.027864161436958,30.0,-0.0005488492037109717,0.012158041094652782,-0.0351599123430776,-0.0060236127456135,-0.00106332265112585,0.0032610580539859753,0.0266794179314132,65.0,0.0021716194036837883,0.013381409099165598,-0.0430763188971874,-0.0061538290246894,0.0022551975376725,0.0127909393519294,0.027864161436958,61.0,-0.0011194347589099114,0.0153901046494773,-0.0558410063105443,-0.0046128002882032,0.0010416768244489,0.0087984072321337,0.0252353115381495,Non-normal residuals! ,0.9489588049466309,0.3894104848957849,0.6409,0.9,0.388,32.23726152026961,9.994650339688955e-08,2.4287696599977866,0.2968925975479792
value__mean_second_derivative_central,156.0,-3.655241819079416e-06,0.00033060880336441886,-0.0018666666666666,-7.51470588235307e-05,0.0,5.3051523639758396e-05,0.0020833333333333,30.0,-2.363616454529339e-05,0.0003288787959246839,-0.0010756972111553,-9.462686567164354e-05,-9.251858538542973e-19,4.7403003754692825e-05,0.0011693548387096,65.0,-3.1068649290555527e-06,0.0001213936829238032,-0.0004712041884816,-5.494505494505621e-05,-4.1119371282413195e-18,5.347593582887824e-05,0.0003571428571428,61.0,5.587105458541382e-06,0.00046268821033055755,-0.0018666666666666,-5.747126436781487e-05,0.0,5.5555555555559305e-05,0.0020833333333333,Non-normal residuals! Heteroscedastic samples! ,0.07777787888927434,0.9252064593142827,0.9,0.9,0.9,2130.2417991900393,0.0,89.14952454269336,4.379522011042283e-20
value__median,156.0,-5.451394642143848,3.2323940300197513,-16.137585553978766,-7.25265411044472,-5.1635925677094985,-3.634848377953937,4.623578146869313,30.0,-3.9196878874363588,1.2459312174495103,-6.278357231321182,-4.866489637618024,-4.139224421222441,-3.276645464109557,-1.262095547488494,65.0,-5.01500315042582,2.2355115855747836,-9.54470693493938,-6.303229572951006,-5.058059819701101,-3.499398046542206,-0.5036301711641292,61.0,-6.669700373338877,4.245264339613655,-16.137585553978766,-9.764603024801344,-6.522936574408817,-4.725416929814932,4.623578146869313,Non-normal residuals! Heteroscedastic samples! ,9.167263172024006,0.00017368427598429034,0.243,0.001,0.0083,27.27497219334522,1.194854548562938e-06,53.91358235673694,1.962521130126845e-12
