feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,anova_notes,f-oneway_stat,f-oneway_pvalue,tukey-HSD_control_epah_pvalue,tukey-HSD_control_pah_pvalue,tukey-HSD_epah_pah_pvalue,jarque-bera_stat,jarque-bera_pvalue,bartlett_stat,bartlett_pvalue
value_norm__variance_larger_than_standard_deviation,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not enough unique values! ,,,,,,,,,
value_norm__has_duplicate_max,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not enough unique values! ,,,,,,,,,
value_norm__has_duplicate_min,156.0,0.038461538461538464,0.19292704235657743,0.0,0.0,0.0,0.0,1.0,30.0,0.06666666666666667,0.2537081317024625,0.0,0.0,0.0,0.0,1.0,65.0,0.03076923076923077,0.17403580533459637,0.0,0.0,0.0,0.0,1.0,61.0,0.03278688524590164,0.1795562228341584,0.0,0.0,0.0,0.0,1.0,Not enough unique values! ,,,,,,,,,
value_norm__has_duplicate,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,65.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,61.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Not enough unique values! ,,,,,,,,,
value_norm__sum_values,156.0,-5.2835229069340785e-15,1.0060536559140334e-13,-2.9842794901924213e-13,-7.105427357601003e-14,0.0,7.105427357601003e-14,3.2684965844964614e-13,30.0,-1.1842378929335024e-15,1.0577114296525837e-13,-2.9842794901924213e-13,-7.105427357601003e-14,3.552713678800501e-15,7.105427357601003e-14,2.273736754432321e-13,65.0,-3.607370812320508e-15,9.165143261258515e-14,-1.7053025658242404e-13,-8.526512829121202e-14,0.0,7.105427357601003e-14,2.131628207280301e-13,61.0,-9.085628424473413e-15,1.084141001332103e-13,-2.9842794901924213e-13,-7.105427357601003e-14,-1.4210854715202004e-14,5.684341886080803e-14,3.2684965844964614e-13,Not enough variation! ,,,,,,,,,
value_norm__abs_energy,156.0,499.0,3.1357922311381714e-13,498.9999999999992,498.9999999999998,499.0,499.0000000000001,499.0000000000008,30.0,499.0,3.287509821541226e-13,498.9999999999994,498.9999999999998,498.9999999999999,499.0000000000001,499.0000000000007,65.0,499.0,3.0478887807599926e-13,498.9999999999994,498.9999999999998,499.0,499.0000000000001,499.0000000000008,61.0,498.99999999999994,3.183569791908623e-13,498.9999999999992,498.9999999999997,499.0,499.00000000000017,499.0000000000008,Not enough variation! ,,,,,,,,,
value_norm__mean_abs_change,156.0,0.011314544154117869,0.0008606259726726027,0.0095684261815194,0.0107996563343892,0.01120448367421735,0.01159395566863995,0.0153877343064144,30.0,0.011714558524660496,0.000844455465564488,0.0106193213781305,0.010946393880321375,0.0116251319918943,0.012221893150277925,0.0142689004262004,65.0,0.01142533484845119,0.0009240015013812584,0.0101291118643955,0.0109350089072942,0.0112217400951461,0.0115976112779622,0.0153877343064144,61.0,0.010999760117266303,0.0006811807966670697,0.0095684261815194,0.010589791034663,0.0109895310592108,0.0113516817229282,0.0142307949701725,Non-normal residuals! ,8.633583061451482,0.0002801431511155498,0.2508,0.001,0.0116,336.59009046222405,8.13561754946929e-74,5.6351852066497,0.059749610720796716
value_norm__mean_change,156.0,4.578488585493842e-06,0.0005864660877397351,-0.0021895749730287,-0.00025759407398435,2.6624441961785055e-05,0.000329618984604775,0.0016752774287382,30.0,-6.048178981532466e-05,0.0007404886968104424,-0.0021895749730287,-0.00031667677920225,-5.67474161356437e-05,0.000171681926678875,0.0016752774287382,65.0,7.850183745125232e-05,0.0006233665147883125,-0.0019026623696804,-0.0003336219899566,9.078037914031673e-05,0.0005477984416162,0.0013912851320684,61.0,-4.21954347628626e-05,0.00044580573942126095,-0.0018920443326991,-0.0001833737020503,2.4742996467146825e-05,0.0002080969560405,0.000709172538965,Non-normal residuals! Heteroscedastic samples! ,0.8937541034681082,0.41124196176137606,0.531,0.9,0.4842,43.645251428439195,3.330842302565533e-10,11.664693559520737,0.0029311900448529718
value_norm__mean_second_derivative_central,156.0,-9.926525951288385e-07,4.892587153013285e-06,-1.2258819480681593e-05,-2.597001935707537e-06,-1.0633049298420285e-06,3.091175563722553e-08,3.910908633592666e-05,30.0,-9.025153543554904e-07,6.526575803820444e-06,-7.047506018993649e-06,-3.5967726856936623e-06,-1.2366127595194497e-06,-3.1560249618492185e-07,3.1603273983087474e-05,65.0,-1.595851109032601e-06,2.497928393347442e-06,-6.589571111941491e-06,-2.900299158011629e-06,-1.617452353552037e-06,-7.71504831464485e-07,4.343128060755132e-06,61.0,-3.942298708576227e-07,5.8165466506075875e-06,-1.2258819480681593e-05,-1.603879478991707e-06,-3.976868828781479e-07,7.83527415221453e-07,3.910908633592666e-05,Non-normal residuals! Heteroscedastic samples! ,0.9548218603494844,0.38716192655634574,0.7775,0.8782,0.3562,10478.207686527869,0.0,48.18307666854957,3.4449096877324705e-11
value_norm__median,156.0,-0.47244193473119406,0.1349302532101074,-0.6956691969228535,-0.5569170659274953,-0.4905562151016883,-0.41313472464454915,0.1448397685154039,30.0,-0.5054484888908148,0.09614416386462206,-0.6941510967168469,-0.5581103418005665,-0.5078375572208249,-0.4418415355772982,-0.2938337859229128,65.0,-0.49386621901824773,0.08922790650440754,-0.6610097164719189,-0.5549925193962366,-0.4951611527616884,-0.4434767431151247,-0.2321490420824812,61.0,-0.4333800477894394,0.17742379778177259,-0.6956691969228535,-0.5549418373151264,-0.4818222239491205,-0.3214349000294528,0.1448397685154039,Non-normal residuals! Heteroscedastic samples! ,4.464101377242358,0.013053396790194113,0.9,0.0408,0.0297,101.65707097371694,8.422625965375794e-23,32.72008857538376,7.850965016370256e-08
