feature,feature,type,p_value,relevant
"value__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",real,5.275437159842606e-07,True
"value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",real,6.765534328974898e-07,True
"value__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",real,6.765534328974898e-07,True
"value__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",real,8.657184075755623e-07,True
"value__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",real,8.657184075755623e-07,True
"value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",real,9.784771357829937e-07,True
"value__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",real,1.1053062837346559e-06,True
value__root_mean_square,value__root_mean_square,real,1.1984948149610496e-06,True
"value__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",real,1.1984948149610496e-06,True
"value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",real,1.2992183420205482e-06,True
"value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",real,1.2992183420205482e-06,True
"value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",real,1.3525857736144705e-06,True
"value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",real,1.3525857736144705e-06,True
"value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",real,1.3525857736144705e-06,True
"value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",real,1.408058215534062e-06,True
"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",real,2.0974950598870055e-06,True
value__variance,value__variance,real,2.1820328121945165e-06,True
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",real,2.1820328121945165e-06,True
value__standard_deviation,value__standard_deviation,real,2.1820328121945165e-06,True
"value__linear_trend__attr_""stderr""","value__linear_trend__attr_""stderr""",real,3.4889293738241668e-06,True
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",real,3.6266341744143683e-06,True
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",real,4.231379588835022e-06,True
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",real,4.231379588835022e-06,True
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",real,4.932095591863159e-06,True
value__spkt_welch_density__coeff_8,value__spkt_welch_density__coeff_8,real,5.322865795181678e-06,True
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",real,5.965072585564655e-06,True
value__mean_abs_change,value__mean_abs_change,real,5.965072585564655e-06,True
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",real,5.965072585564655e-06,True
value__abs_energy,value__abs_energy,real,6.19515621729188e-06,True
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",real,6.937472334646775e-06,True
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",real,1.0849006610635029e-05,True
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",real,1.352200668011507e-05,True
"value__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",real,1.4544916699006715e-05,True
"value__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",real,1.5083642942694675e-05,True
"value__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",real,1.5641361688771515e-05,True
"value__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",real,1.681632662725342e-05,True
"value__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",real,1.681632662725342e-05,True
value__absolute_sum_of_changes,value__absolute_sum_of_changes,real,1.7434897600066475e-05,True
"value__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",real,1.8075111780362594e-05,True
"value__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",real,1.8737683969587565e-05,True
