Feature,Mean P Value,P Values,Num_Relevant(10)
value_norm__absolute_sum_of_changes,5.034955807744179e-05,"[1.1780920728513485e-07, 0.00010058130694759845]",2
"value_norm__agg_autocorrelation__f_agg_""var""__maxlag_40",0.000787127144117415,[0.000787127144117415],1
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",0.00011072151696128256,"[1.2157064702482103e-06, 0.00022022732745231692]",2
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.00013551099526121137,"[2.1583723884657395e-06, 0.000268863618133957]",2
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.00013580661238202395,"[2.749606630090885e-06, 0.000268863618133957]",2
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",0.00012224076603412838,"[1.0732125286719039e-06, 0.00024340831953958487]",2
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.00013105174611747342,"[1.989995307812982e-06, 0.00026011349692713385]",2
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.0003497447365139026,"[1.819356248226988e-05, 0.0006812959105455353]",2
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.0001267326008148505,"[1.8342754706022556e-06, 0.00025163092615909877]",2
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.00013551099526121137,"[2.1583723884657395e-06, 0.000268863618133957]",2
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",0.00013137739692017345,"[2.6412969132130145e-06, 0.00026011349692713385]",2
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.0004415241386188193,"[9.468642576361806e-07, 0.0011176828846182448, 0.00020594266698057675]",3
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.00013551099526121137,"[2.1583723884657395e-06, 0.000268863618133957]",2
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.00017127306345032225,"[4.259830112234643e-06, 0.00033828629678840985]",2
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",0.00010660210299451936,[0.00010660210299451936],1
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",0.0001898348843830689,"[1.9247868695266781e-07, 0.00043238310037795204, 0.00013692907408430192]",3
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",0.00012685173412478183,"[2.072542090464902e-06, 0.00025163092615909877]",2
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",0.00012609726830996998,[0.00012609726830996998],1
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",0.0005193302603780698,"[1.627861495904816e-05, 0.0010223819057970916]",2
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.00011086092169728049,"[1.4945159422440453e-06, 0.00022022732745231692]",2
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.00013551099526121137,"[2.1583723884657395e-06, 0.000268863618133957]",2
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.00014521243936341954,"[3.227017203324012e-06, 0.00028719786152351507]",2
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",0.00012194765807082768,[0.00012194765807082768],1
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",0.0004415241386188193,"[9.468642576361806e-07, 0.0011176828846182448, 0.00020594266698057675]",3
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",0.00013551099526121137,"[2.1583723884657395e-06, 0.000268863618133957]",2
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",0.00017135867314289972,"[4.431049497389566e-06, 0.00033828629678840985]",2
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",0.0001699189574452326,[0.0001699189574452326],1
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",0.00017903005922572347,"[1.9247868695266781e-07, 0.00036876302729335825, 0.0001681346716968595]",3
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",0.00013105174611747342,"[1.989995307812982e-06, 0.00026011349692713385]",2
