Feature,Mean P Value,P Values,Num_Relevant(10)
value_norm__absolute_sum_of_changes,0.0001008873497302,[0.00010088734973027149],1
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",0.0001202325094414,"[2.668401877556935e-05, 0.0005399196393249449, 3.335836032215016e-05, 0.0001204390080601888, 6.310287017288261e-07, 3.6300146410841643e-07]",6
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.0002382476430635,"[0.0002286621450337301, 0.0007262524060905059, 0.00023367969434613835, 1.302339404382956e-06, 1.3416304428621445e-06]",5
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",5.526941204399586e-05,"[1.657687876765148e-05, 9.396194532034025e-05]",2
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",0.0002085517223471,"[0.0003014996500110326, 1.1190041250809293e-05, 0.0003129654757795583]",3
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.0002395026860357,"[9.692791226094791e-05, 0.0007262524060905059, 0.00010095720824331398, 0.0005116038591274505, 6.915870390805111e-07, 5.831434533908341e-07]",6
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.0001619763072818,"[4.9497008583418844e-05, 0.0006083473246832255, 6.0703226418319035e-05, 0.0002522954787694644, 5.755975201564828e-07, 4.392077162413868e-07]",6
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",0.0002404563409034,"[0.00012965177579435562, 0.0006083473246832255, 0.000116448238275774, 0.0005870159761747196, 6.915870390805111e-07, 5.831434533908341e-07]",6
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",5.751118725026476e-05,"[2.106042918018927e-05, 9.396194532034025e-05]",2
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.0001332499447607,"[5.339876905066679e-05, 0.0004787191220368496, 4.860156088872589e-05, 0.00021817869319086934, 3.294234098714622e-07, 2.7209998781536314e-07]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.0002661995347867,"[0.00010428614912958152, 0.0007700525491957095, 0.00013416174658013267, 0.0005870159761747196, 9.087522771002087e-07, 7.720353630384669e-07]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",1.0900644571488089e-05,"[7.145366682850652e-06, 1.4110318770633749e-05, 1.0327684027722908e-05, 8.320707985019014e-06, 1.7003741581757531e-06, 4.659354438923184e-06, 3.0040705937091366e-05]",7
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",6.204425470647228e-05,"[3.383915272540499e-05, 1.9451075012243494e-05, 4.115990199385775e-06, 3.856621636895234e-06, 7.608191489038976e-05, 0.00020839526077966303, 3.6180953174684756e-07, 3.9935425517717797e-07, 0.00024944351902209024, 2.449784901172631e-05]",10
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",0.0001860325764307,"[6.692744325834894e-05, 0.0006847760486521223, 4.860156088872589e-05, 0.0003129654757795583, 1.7003741581757531e-06, 1.2245558477536288e-06]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",0.000308336168703,"[0.00018525194841127166, 0.00042679108191835615, 0.0003129654757795583]",3
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.0001533067055211,"[6.209317167155153e-05, 0.0004787191220368496, 6.533535263170976e-05, 0.0003129654757795583, 3.9725825245671636e-07, 3.2985275495489327e-07]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.000227304179351,"[9.692791226094791e-05, 0.000645510408625346, 0.00010844202672875589, 0.0005116038591274505, 7.577259106322557e-07, 5.831434533908341e-07]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",9.379620646500843e-06,"[5.164748878186652e-06, 1.0186582759150017e-05, 7.471810850027301e-06, 4.92520027768095e-06, 9.087522771002087e-07, 2.304960487458526e-06, 3.469528899590225e-05]",7
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",0.0001226117170334,"[3.371753862717348e-05, 0.0005084616542428988, 4.184548860444286e-05, 0.00015086750812133305, 4.784769392129079e-07, 2.996356658103692e-07]",6
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",0.0003385526982852,"[0.00018525194841127166, 0.0007262524060905059, 0.00017746890602221647, 0.0009402351842906093, 1.0885526827329426e-06, 1.0191922143990462e-06]",6
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",0.0002496306001742,"[2.6359401493963236e-06, 2.6523444730052223e-05, 0.000719732415643213]",3
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",0.0003476164437529,"[1.4110318770633749e-05, 0.0005084616542428988, 2.319949743478413e-06, 2.9306023803392868e-05, 0.0007643871287350743, 0.0007671135872224445]",6
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",0.0002395026860357,"[9.692791226094791e-05, 0.0007262524060905059, 0.00010095720824331398, 0.0005116038591274505, 6.915870390805111e-07, 5.831434533908341e-07]",6
