,count,mean,std,min,25%,50%,75%,max
value_norm__variance_larger_than_standard_deviation,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value_norm__has_duplicate_max,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value_norm__has_duplicate_min,156.0,0.038461538461538464,0.19292704235657743,0.0,0.0,0.0,0.0,1.0
value_norm__has_duplicate,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__sum_values,156.0,-5.2835229069340785e-15,1.0060536559140334e-13,-2.9842794901924213e-13,-7.105427357601003e-14,0.0,7.105427357601003e-14,3.2684965844964614e-13
value_norm__abs_energy,156.0,499.0,3.1357922311381714e-13,498.9999999999992,498.9999999999998,499.0,499.0000000000001,499.0000000000008
value_norm__mean_abs_change,156.0,0.011314544154117869,0.0008606259726726027,0.0095684261815194,0.0107996563343892,0.01120448367421735,0.01159395566863995,0.0153877343064144
value_norm__mean_change,156.0,4.578488585493842e-06,0.0005864660877397351,-0.0021895749730287,-0.00025759407398435,2.6624441961785055e-05,0.000329618984604775,0.0016752774287382
value_norm__mean_second_derivative_central,156.0,-9.926525951288385e-07,4.892587153013285e-06,-1.2258819480681593e-05,-2.597001935707537e-06,-1.0633049298420285e-06,3.091175563722553e-08,3.910908633592666e-05
value_norm__median,156.0,-0.47244193473119406,0.1349302532101074,-0.6956691969228535,-0.5569170659274953,-0.4905562151016883,-0.41313472464454915,0.1448397685154039
value_norm__mean,156.0,-1.0567045813868162e-17,2.012107311828067e-16,-5.968558980384842e-16,-1.4210854715202004e-16,0.0,1.4210854715202004e-16,6.536993168992923e-16
value_norm__length,156.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0
value_norm__standard_deviation,156.0,0.9989994994993757,1.6165583172536475e-15,0.9989994994993734,0.998999499499374,0.998999499499374,0.9989994994993744,0.9989994994993748
value_norm__variation_coefficient,156.0,-16287127904364.896,1.477385958705643e+16,-7.029834021388584e+16,-6151104768715012.0,-2703782315918686.5,7029834021388582.0,7.029834021388581e+16
value_norm__variance,156.0,0.9979999999999999,6.216737293334491e-16,0.9979999999999984,0.9979999999999996,0.998,0.9980000000000002,0.9980000000000016
value_norm__skewness,156.0,0.5188300795284599,0.19274619997835385,-0.1141623653093401,0.4044034277907944,0.5289905742396699,0.6382503928053929,1.2028864131714074
value_norm__kurtosis,156.0,-1.334011076271102,0.23345292736258041,-1.744468664422553,-1.4882811709941748,-1.3679572086927683,-1.2303694677889556,-0.0585902010386667
value_norm__root_mean_square,156.0,0.9989994994993757,1.6217888383846303e-15,0.9989994994993734,0.998999499499374,0.998999499499374,0.9989994994993744,0.9989994994993748
value_norm__absolute_sum_of_changes,156.0,5.645957532904842,0.4294523603636273,4.774644664578189,5.389028510860243,5.591037353434489,5.785383878651375,7.678479418900818
value_norm__longest_strike_below_mean,156.0,173.27564102564102,16.853284821181134,140.0,163.0,171.0,183.25,234.0
value_norm__longest_strike_above_mean,156.0,202.51282051282053,18.378278616252633,138.0,191.0,203.5,213.25,263.0
value_norm__count_above_mean,156.0,202.57051282051282,18.305335791648183,138.0,191.0,203.5,213.25,263.0
value_norm__count_below_mean,156.0,297.4294871794872,18.305335791648183,237.0,286.75,296.5,309.0,362.0
value_norm__last_location_of_maximum,156.0,0.48617948717948706,0.03255833220336005,0.392,0.482,0.492,0.498,0.624
value_norm__first_location_of_maximum,156.0,0.48417948717948706,0.03255833220336004,0.39,0.48,0.49,0.496,0.622
value_norm__last_location_of_minimum,156.0,0.649384615384616,0.33844956667299997,0.002,0.709,0.79,0.852,1.0
value_norm__first_location_of_minimum,156.0,0.6472564102564103,0.3383165319121948,0.0,0.707,0.788,0.85,0.996
value_norm__percentage_of_reoccurring_values_to_all_values,156.0,0.002007464729276873,1.4779043728696606e-06,0.002004008016032,0.002008032128514,0.002008032128514,0.002008032128514,0.0020120724346076
value_norm__percentage_of_reoccurring_datapoints_to_all_datapoints,156.0,0.005717948717948723,0.0007343627634357046,0.004,0.006,0.006,0.006,0.008
value_norm__sum_of_reoccurring_values,156.0,-0.8587285852979871,0.17551037891051416,-1.8279508225471093,-0.9593899579421296,-0.8667415018588052,-0.7592516717060795,-0.4039784489379476
value_norm__sum_of_reoccurring_data_points,156.0,-2.476400239986366,0.6570189358850383,-5.483852467641329,-2.859577268831262,-2.562803274689089,-2.1688984355112426,-0.8079568978758952
value_norm__ratio_value_number_to_time_series_length,156.0,0.9962820512820514,0.0007343627634357064,0.994,0.996,0.996,0.996,0.998
value_norm__sample_entropy,156.0,0.027441366857560243,0.004081018810379877,0.019825240556741,0.024176461640621177,0.0272525083824093,0.030416698849987024,0.037693933958389
value_norm__maximum,156.0,1.6763550373654772,0.15095311838957842,1.2297355235292633,1.5896609215350561,1.6593800535617653,1.7711735848930124,2.2369779081753585
value_norm__minimum,156.0,-1.1165010240337434,0.12920101931282377,-1.8279508225471093,-1.1834471529291155,-1.0987699778534776,-1.0249760446966873,-0.8973306279602408
value_norm__benford_correlation,156.0,0.6062801308439886,0.18333472859808617,0.0230155623243167,0.4866421105344665,0.6564048568453584,0.748023787857752,0.974050185079521
value_norm__time_reversal_asymmetry_statistic__lag_1,156.0,8.522772035534412e-05,0.0020182469347815955,-0.0152899655929715,-0.000635341257693175,8.623238018799287e-05,0.0009755482562450001,0.0063882567615356
value_norm__time_reversal_asymmetry_statistic__lag_2,156.0,0.00014953722470279683,0.004037776005308175,-0.0306769205343225,-0.001285001186330475,0.000156940846175,0.00196134661232915,0.0127203304700774
value_norm__time_reversal_asymmetry_statistic__lag_3,156.0,0.00018482961926782256,0.006050205552821569,-0.0459911806439484,-0.00193577111108185,0.00017655324160595,0.0029442411363219748,0.0189988889329747
value_norm__c3__lag_1,156.0,0.5204743331114318,0.1913652214286141,-0.109161515793726,0.406898568815907,0.5302153004107799,0.6387897307133097,1.2015612208525115
value_norm__c3__lag_2,156.0,0.5247361226153773,0.190896636194469,-0.1048606475740761,0.41139756460074695,0.533555202407453,0.6423781617371889,1.2055392224047372
value_norm__c3__lag_3,156.0,0.5285067265525882,0.19018166312162996,-0.1005637807146788,0.41548966285992833,0.5364287165848141,0.6452009576421356,1.2076002499970973
value_norm__cid_ce__normalize_True,156.0,0.3589417902146583,0.036746731299520816,0.2867439593852244,0.33267469107193764,0.35142502839777734,0.3799911543687379,0.5255927443372004
value_norm__cid_ce__normalize_False,156.0,0.35858266877385303,0.03670996617645929,0.2864570719103079,0.33234184987697457,0.35107342748093306,0.3796109730285588,0.5250668885333657
