Feature,Mean P Value,P Values
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",4.0888888817559895e-05,"[9.127840059021884e-07, 1.1071505844282919e-05, 4.3440877566869505e-05, 2.8385009737282348e-05, 2.3333065350160625e-05, 2.5734222679671848e-06, 2.629771384106378e-05, 0.00025014067026243734, 2.2451147304260724e-05, 2.826919953722757e-07]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",4.805765245898828e-05,"[8.464939303512365e-07, 1.1960542108279927e-05, 4.944048389699433e-05, 2.8385009737282348e-05, 2.4913504246894484e-05, 2.1961002367289765e-06, 3.0281576164836907e-05, 0.0003062865079744656, 2.598361429867667e-05, 2.826919953722757e-07]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",5.043903434875898e-05,"[7.84852712911156e-07, 1.291746600457315e-05, 5.272708780795184e-05, 3.0288676800683634e-05, 2.6595442919527642e-05, 2.377585149367114e-06, 3.734828188654022e-05, 0.0003062865079744656, 3.469528899590225e-05, 3.691532356671714e-07]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",2.1382286706948062e-05,"[7.275468288636593e-07, 6.398809496585656e-06, 1.8345290018266887e-05, 1.7914849220674316e-05, 8.514093068967582e-06, 1.1530711128273789e-06, 8.848400150518497e-06, 0.00014394257806053765, 7.84113007205707e-06, 1.3709904018191183e-07]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",4.805765245898828e-05,"[8.464939303512365e-07, 1.1960542108279927e-05, 4.944048389699433e-05, 2.8385009737282348e-05, 2.4913504246894484e-05, 2.1961002367289765e-06, 3.0281576164836907e-05, 0.0003062865079744656, 2.598361429867667e-05, 2.826919953722757e-07]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",4.336529055340317e-05,"[9.127840059021884e-07, 1.0245774304069358e-05, 4.944048389699433e-05, 3.0288676800683634e-05, 2.3333065350160625e-05, 2.7846916138836224e-06, 2.449784901172631e-05, 0.00026768448639390624, 2.415601950870785e-05, 3.0907464799748937e-07]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",4.805765245898828e-05,"[8.464939303512365e-07, 1.1960542108279927e-05, 4.944048389699433e-05, 2.8385009737282348e-05, 2.4913504246894484e-05, 2.1961002367289765e-06, 3.0281576164836907e-05, 0.0003062865079744656, 2.598361429867667e-05, 2.826919953722757e-07]"
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",4.9611545605914184e-05,"[8.464939303512365e-07, 1.1071505844282919e-05, 4.6348710536613566e-05, 2.8385009737282348e-05, 2.3333065350160625e-05, 2.1961002367289765e-06, 2.8222890667672917e-05, 0.0003274867529426464, 2.7942234818030513e-05, 2.826919953722757e-07]"
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",3.0212881399009383e-05,"[5.360885432945038e-07, 6.398809496585656e-06, 2.931491133483658e-05, 1.9144271495100197e-05, 1.1977140717168314e-05, 1.594507526857493e-06, 1.4811944538748167e-05, 0.00020376087370776788, 1.4392967406940614e-05, 1.972992227944642e-07]"
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",4.805765245898828e-05,"[8.464939303512365e-07, 1.1960542108279927e-05, 4.944048389699433e-05, 2.8385009737282348e-05, 2.4913504246894484e-05, 2.1961002367289765e-06, 3.0281576164836907e-05, 0.0003062865079744656, 2.598361429867667e-05, 2.826919953722757e-07]"
